,speciesType,tissueType,UberonOntologyID,cancerType,cellType,cellName,CellOntologyID,cellMarker,geneSymbol,geneID,proteinName,proteinID,markerResource,PMID,Company
3745,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Distal convoluted tubule cell,CL_1000507,"Abca13, Calb1, Cwh43, Emx1, Gm15848, Hoxb5os, Larp1b, Lhx1, Lhx1os, mt-Co1, Oxct1, Papss1, Pgam2, Pvalb, Sgms2, Slc12a3, Slc16a7, Tfrc, Trpm6, Trpm7, Tsc22d2, Uroc1, Wnk1, Wnk4","Abca13, Calb1, Cwh43, Emx1, NA, NA, Larp1b, Lhx1, NA, NA, Oxct1, Papss1, Pgam2, Pvalb, Sgms2, Slc12a3, Slc16a7, Tfrc, Trpm6, Trpm7, Tsc22d2, Uroc1, Wnk1, Wnk4","268379, 12307, 231293, 13796, NA, NA, 214048, 16869, NA, NA, 67041, 23971, 56012, 19293, 74442, 20497, 20503, 22042, 225997, 58800, 72033, 243537, 232341, 69847","ABCAD, CALB1, PG2IP, EMX1, NA, NA, NA, LHX1, NA, NA, SCOT1, PAPS1, PGAM2, PRVA, SMS2, S12A3, MOT2, TFR1, TRPM6, TRPM7, NA, HUTU, WNK1, WNK4","Q5SSE9, P12658, Q91YL7, Q04742, NA, NA, NA, P63006, NA, NA, Q9D0K2, Q60967, O70250, P32848, Q9D4B1, P59158, O70451, Q62351, Q8CIR4, Q923J1, NA, Q8VC12, P83741, Q80UE6",Single-cell sequencing,29622724,
3746,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Collecting duct principal cell,CL_1001431,"Adgrg1, AI838599, Apela, Aqp2, Aqp3, Avpr2, BC018473, Cav1, Cav2, Cdh16, Cdo1, Celsr2, Cldn4, Fxyd4, Fzd7, Gprc5b, Gstt1, Hes1, Hsd11b2, Ivns1abp, Kcne1, Kcnj1, L1cam, Myh10, Npnt, Nudt4, Olfm1, Pdzk1ip1, Peli2, Phactr1, Rnf186, Scnn1b, Scnn1g, Slc2a9, Stc1, Tacstd2, Tbck, Tmem178, Tmem229a, Tmem45b, Trpv5, Tspan8, Wfdc2","Adgrg1, NA, Apela, Aqp2, Aqp3, Avpr2, NA, Cav1, Cav2, Cdh16, Cdo1, Celsr2, Cldn4, Fxyd4, Fzd7, Gprc5b, Gstt1, Hes1, Hsd11b2, Ivns1abp, Kcne1, Kcnj1, L1cam, Myh10, Npnt, Nudt4, Olfm1, Pdzk1ip1, Peli2, Phactr1, Rnf186, Scnn1b, Scnn1g, Slc2a9, Stc1, Tacstd2, Tbck, Tmem178, Tmem229a, Tmem45b, Trpv5, Tspan8, Wfdc2","14766, NA, 100038489, 11827, 11828, 12000, NA, 12389, 12390, 12556, 12583, 53883, 12740, 108017, 14369, 64297, 14871, 15205, 15484, 117198, 16509, 56379, 16728, 77579, 114249, 71207, 56177, 67182, 93834, 218194, 66825, 20277, 20278, 117591, 20855, 56753, 271981, 68027, 319832, 235135, 194352, 216350, 67701","AGRG1, NA, ELA, AQP2, AQP3, V2R, NA, CAV1, CAV2, CAD16, CDO1, CELR2, CLD4, FXYD4, FZD7, GPC5B, GSTT1, HES1, DHI2, NS1BP, KCNE1, KCNJ1, L1CAM, MYH10, NPNT, NUDT4, NOE1, PDZ1I, PELI2, PHAR1, RN186, SCNNB, SCNNG, NA, STC1, TACD2, TBCK, NA, T229A, TM45B, TRPV5, TSN8, WFDC2","Q8K209, NA, P0DMC4, P56402, Q8R2N1, O88721, NA, P49817, Q9WVC3, O88338, P60334, Q9R0M0, O35054, Q9D2W0, Q61090, Q923Z0, Q64471, P35428, P51661, Q920Q8, P23299, O88335, P11627, Q61879, Q91V88, Q8R2U6, O88998, Q9CQH0, Q8BST6, Q2M3X8, Q9D241, Q9WU38, Q9WU39, NA, O55183, Q8BGV3, Q8BM85, NA, B9EJI9, Q8VCZ2, P69744, Q8R3G9, Q9DAU7",Single-cell sequencing,29622724,
3747,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Collecting duct intercalated cell,CL_1001432,"9130008F23Rik, Atp6v0d2, Atp6v1g3, Car2, Chchd10, Cycs, Fam13a, Hmx2, Mif, Mme, Oxgr1, Slc25a4, Tbc1d24, Tmem61, Uqcrb","9130008F23Rik, Atp6v0d2, Atp6v1g3, Car2, Chchd10, Cycs, Fam13a, Hmx2, Mif, Mme, Oxgr1, NA, Tbc1d24, Tmem61, Uqcrb","71583, 242341, 338375, 12349, 103172, 13063, 58909, 15372, 17319, 17380, 239283, NA, 224617, 329909, 67530","NA, VA0D2, VATG3, NA, NA, CYC, FA13A, HMX2, MIF, NEP, OXGR1, ADT1, TBC24, NA, QCR7","NA, Q80SY3, Q8BMC1, NA, NA, P62897, Q8BGI4, P43687, P34884, Q61391, Q6IYF8, P48962, Q3UUG6, NA, Q9D855",Single-cell sequencing,29622724,
3748,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Collecting duct transient cell,CL_1001225,"Aco2, Atp5a1, Car12, Cdc42bpb, Chd4, Clcnkb, Col18a1, Ctnnb1, Cttn, Ddx6, Enpp5, Gclc, Hepacam2, Insrr, Itgav, Laptm4b, Mprip, Ogdh, Parm1, Pip4k2c, Rhbg, Rpn1, Sdha, Sec23b, Slc26a4, Slc43a2, Smpd1, Sox4, St14, Syt7, Tmem117, Tmem50b","Aco2, Atp5a1, Car12, Cdc42bpb, Chd4, Clcnkb, Col18a1, Ctnnb1, Cttn, Ddx6, Enpp5, Gclc, Hepacam2, Insrr, Itgav, Laptm4b, Mprip, Ogdh, Parm1, Pip4k2c, Rhbg, Rpn1, Sdha, Sec23b, Slc26a4, Slc43a2, Smpd1, Sox4, St14, Syt7, Tmem117, Tmem50b","11429, 11946, 76459, 217866, 107932, 56365, 12822, 12387, 13043, 13209, 83965, 14629, 101202, 23920, 16410, 114128, 26936, 18293, 231440, 117150, 58176, 103963, 66945, 27054, 23985, 215113, 20597, 20677, 19143, 54525, 320709, 77975","ACON, NA, NA, MRCKB, CHD4, CLCKB, COIA1, CTNB1, SRC8, DDX6, ENPP5, GSH1, HECA2, INSRR, ITAV, LAP4B, MPRIP, ODO1, PARM1, PI42C, RHBG, RPN1, SDHA, SC23B, S26A4, LAT4, ASM, SOX4, ST14, SYT7, TM117, TM50B","Q99KI0, NA, NA, Q7TT50, Q6PDQ2, Q9WUB6, P39061, Q02248, Q60598, P54823, Q9EQG7, P97494, Q4VAH7, Q9WTL4, P43406, Q91XQ6, P97434, Q60597, Q923D3, Q91XU3, Q8BUX5, Q91YQ5, Q8K2B3, Q9D662, Q9R155, Q8CGA3, Q04519, Q06831, P56677, Q9R0N7, Q8BH18, Q9D1X9",Single-cell sequencing,29622724,
3752,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,B cell,CL_0000236,"4930523C07Rik, Bank1, Blnk, Btla, Cd19, Cd22, Cd37, Cd79a, Cd79b, Ckap4, Cmah, Creld2, Derl3, Dnajc3, Eaf2, Ebf1, Edem1, Edem2, Fam46c, Fchsd2, Fcmr, Fcrla, Fkbp11, Gm43291, Gm43603, Gm8369, H13, H2-DMb2, H2-Oa, H2-Ob, Hsp90b1, Hspa5, Hvcn1, Jchain, Krtcap2, Ly6d, Manf, Mef2c, Ms4a1, Mzb1, Pafah1b3, Pax5, Pold4, Pou2af1, Prdx4, Ptp4a3, Ralgps2, Rexo2, Scd1, Sdf2l1, Sec11c, Sec61a1, Sec61b, Serp1, Siglecg, Slpi, Smap2, Snx2, Spcs3, Spib, Srp9, Ssr4, Tnfrsf13b, Tnfrsf13c, Tnfrsf17, Trp53inp1, Txndc11, Txndc5, Vpreb3, Xbp1","4930523C07Rik, Bank1, Blnk, Btla, Cd19, Cd22, Cd37, Cd79a, Cd79b, Ckap4, Cmah, Creld2, Derl3, Dnajc3, Eaf2, Ebf1, Edem1, Edem2, Fam46c, Fchsd2, Fcmr, Fcrla, Fkbp11, NA, NA, Gm8369, H13, H2-DMb2, H2-Oa, H2-Ob, Hsp90b1, Hspa5, Hvcn1, Jchain, Krtcap2, Ly6d, Manf, Mef2c, Ms4a1, Mzb1, Pafah1b3, Pax5, Pold4, Pou2af1, Prdx4, Ptp4a3, Ralgps2, Rexo2, Scd1, Sdf2l1, Sec11c, Sec61a1, Sec61b, Serp1, Siglecg, Slpi, Smap2, Snx2, Spcs3, Spib, Srp9, Ssr4, Tnfrsf13b, Tnfrsf13c, Tnfrsf17, Trp53inp1, Txndc11, Txndc5, Vpreb3, Xbp1","67647, 242248, 17060, 208154, 12478, 12483, 12493, 12518, 15985, 216197, 12763, 76737, 70377, 100037258, 106389, 13591, 192193, 108687, 74645, 207278, 69169, 98752, 66120, NA, NA, 666926, 14950, 15000, 15001, 15002, 22027, 14828, 74096, 16069, 66059, 17068, 74840, 17260, 12482, 69816, 18476, 18507, 69745, 18985, 53381, 19245, 78255, 104444, 20249, 64136, 66286, 53421, 66212, 28146, 243958, 20568, 69780, 67804, 76687, 272382, 27058, 20832, 57916, 72049, 21935, 60599, 106200, 105245, 22364, 22433","NA, BANK1, BLNK, BTLA, CD19, CD22, CD37, CD79A, CD79B, CKAP4, CMAH, CREL2, DERL3, DNJC3, EAF2, COE1, EDEM1, NA, FA46C, FCSD2, FAIM3, FCRLA, FKB11, NA, NA, NA, NA, NA, NA, NA, ENPL, BIP, HVCN1, IGJ, KTAP2, LY6D, MANF, MEF2C, CD20, MZB1, PA1B3, PAX5, DPOD4, OBF1, PRDX4, TP4A3, RGPS2, ORN, ACOD1, SDF2L, SC11C, S61A1, SC61B, SERP1, NA, SLPI, SMAP2, SNX2, SPCS3, SPIB, SRP09, SSRD, TR13B, TR13C, TNR17, T53I1, TXD11, TXND5, NA, XBP1","NA, Q80VH0, Q9QUN3, Q7TSA3, P25918, P35329, Q61470, P11911, P15530, Q8BMK4, Q61419, Q9CYA0, Q9D8K3, Q91YW3, Q91ZD6, Q07802, Q925U4, NA, Q5SSF7, Q3USJ8, A1KXC4, Q920A9, Q9D1M7, NA, NA, NA, NA, NA, NA, NA, P08113, P20029, Q3U2S8, P01592, Q5RL79, P35459, Q9CXI5, Q8CFN5, P19437, Q9D8I1, Q61205, Q02650, Q9CWP8, Q64693, O08807, Q9D658, Q9ERD6, Q9D8S4, P13516, Q9ESP1, Q9D8V7, P61620, Q9CQS8, Q9Z1W5, NA, P97430, Q7TN29, Q9CWK8, Q6ZWQ7, O35906, P49962, Q62186, Q9ET35, Q9D8D0, O88472, Q9QXE4, Q8K2W3, Q91W90, NA, O35426",Single-cell sequencing,29622724,
3753,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,T cell,CL_0000084,"Bcl11b, Cxcr6, Fam189b, Gimap3, Gm10260, Il7r, Itk, Lef1, Ltb, Rapgef6, Rasgrp1, Rpl12, Rplp1, Rps16, Rps23, Rps4x, Satb1, Socs2, Tpt1","Bcl11b, Cxcr6, Fam189b, Gimap3, NA, Il7r, Itk, Lef1, Ltb, Rapgef6, Rasgrp1, Rpl12, Rplp1, Rps16, Rps23, Rps4x, Satb1, Socs2, Tpt1","58208, 80901, 68521, 83408, NA, 16197, 16428, 16842, 16994, 192786, 19419, 269261, 56040, 20055, 66475, 20102, 20230, 216233, 22070","BC11B, CXCR6, F189B, GIMA3, NA, IL7RA, ITK, LEF1, TNFC, NA, GRP1, RL12, RLA1, RS16, RS23, RS4X, SATB1, SOCS2, TCTP","Q99PV8, Q9EQ16, Q5HZJ5, Q99MI6, NA, P16872, Q03526, P27782, P41155, NA, Q9Z1S3, P35979, P47955, P14131, P62267, P62702, Q60611, O35717, P63028",Single-cell sequencing,29622724,
3754,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Natural killer cell,CL_0000623,"Cap1, Ccl5, Ccnd2, Chsy1, Cma1, Cst7, Ctla2b, Ctsw, Dapk2, Dok2, Dusp2, Fasl, Gem, Gm19585, Gzma, Gzmb, Hsd11b1, Ifitm10, Il18rap, Irf8, Itgb2, Jak1, Klra1, Klra4, Klra7, Klra8, Klra9, Klrb1a, Klrb1b, Klrb1c, Klrb1f, Klrc1, Klrc2, Klrd1, Klre1, Klrk1, Lamb3, Lfng, Ncr1, Nkg7, Pole4, Prf1, Samd3, Tbx21, Txk, Ugcg, Vps37b","Cap1, Ccl5, Ccnd2, Chsy1, Cma1, Cst7, Ctla2b, Ctsw, Dapk2, Dok2, Dusp2, Fasl, Gem, NA, Gzma, Gzmb, Hsd11b1, Ifitm10, Il18rap, Irf8, Itgb2, Jak1, Klra1, Klra4, Klra7, Klra8, Klra9, Klrb1a, Klrb1b, Klrb1c, Klrb1f, Klrc1, Klrc2, Klrd1, Klre1, Klrk1, Lamb3, Lfng, Ncr1, Nkg7, Pole4, Prf1, Samd3, Tbx21, Txk, Ugcg, Vps37b","12331, 20304, 12444, 269941, 17228, 13011, 13025, 13041, 13143, 13449, 13537, 14103, 14579, NA, 14938, 14939, 15483, 320802, 16174, 15900, 16414, 16451, 16627, 16635, 16638, 16639, 16640, 17057, 80782, 17059, 232408, 16641, 16642, 16643, 243655, 27007, 16780, 16848, 17086, 72310, 66979, 18646, 268288, 57765, 22165, 22234, 330192","CAP1, CCL5, CCND2, CHSS1, CMA1, CYTF, CTL2B, CATW, DAPK2, DOK2, DUS2, NA, GEM, NA, GRAA, GRAB, DHI1, IFM10, I18RA, IRF8, ITB2, JAK1, KLRA1, KLRA4, KLRA7, KLRA8, NA, KLRBA, KRBBA, KLRBC, KLRBF, NA, NA, KLRD1, KLRE1, NKG2D, LAMB3, LFNG, NCTR1, NKG7, DPOE4, PERF, SAMD3, TBX21, TXK, CEGT, VP37B","P40124, P30882, P30280, Q6ZQ11, P21844, O89098, P12400, P56203, Q8VDF3, O70469, Q05922, NA, P55041, NA, P11032, P04187, P50172, Q8BR26, Q9Z2B1, P23611, P11835, P52332, P20937, Q60651, Q60654, Q60682, NA, P27811, P27812, P27814, Q8VD98, NA, NA, O54707, Q8CJC7, O54709, Q61087, O09010, Q8C567, Q99PA5, Q9CQ36, P10820, Q8C4H2, Q9JKD8, P42682, O88693, Q8R0J7",Single-cell sequencing,29622724,
3756,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Collecting duct principal cell,CL_1001431,"1600029D21Rik, Adh1, Aif1l, Akr1b3, Akr1c19, Aqp2, Aqp3, Aqp4, Arhgdib, Atp1b1, Avpr2, Btc, Cav1, Cdh16, Cdkl1, Chpt1, Cryab, Ctsd, Cystm1, Edaradd, Ednrb, Elf5, Foxq1, Fstl1, Fxyd2, Fxyd4, Gjb1, Gm10664, Gsta3, Hsd11b2, Hsd3b6, Id2, Id3, Igfbp7, Ivns1abp, Krt18, Krt7, Ldha, Lgals3, Malat1, Mgst3, Neat1, Npnt, Pdzk1ip1, Phactr1, Ptger1, Ranbp3l, Rhcg, Scg5, Scnn1b, Sgk1, Spink8, Tacstd2, Tbx3, Tubb2a","Plet1, Adh1, Aif1l, Akr1b3, Akr1c19, Aqp2, Aqp3, Aqp4, Arhgdib, Atp1b1, Avpr2, Btc, Cav1, Cdh16, Cdkl1, Chpt1, Cryab, Ctsd, Cystm1, Edaradd, Ednrb, Elf5, Foxq1, Fstl1, Fxyd2, Fxyd4, Gjb1, NA, Gsta3, Hsd11b2, Hsd3b6, Id2, Id3, Igfbp7, Ivns1abp, Krt18, Krt7, Ldha, Lgals3, NA, Mgst3, NA, Npnt, Pdzk1ip1, Phactr1, Ptger1, Ranbp3l, Rhcg, Scg5, Scnn1b, Sgk1, Spink8, Tacstd2, Tbx3, Tubb2a","76509, 11522, 108897, 11677, 432720, 11827, 11828, 11829, 11857, 11931, 12000, 12223, 12389, 12556, 71091, 212862, 12955, 13033, 66060, 171211, 13618, 13711, 15220, 14314, 11936, 108017, 14618, NA, 14859, 15484, 15497, 15902, 15903, 29817, 117198, 16668, 110310, 16828, 16854, NA, 66447, NA, 114249, 67182, 218194, 19216, 223332, 56315, 20394, 20277, 20393, 78709, 56753, 21386, 22151","PLET1, ADH1, AIF1L, NA, NA, AQP2, AQP3, AQP4, GDIR2, AT1B1, V2R, BTC, CAV1, CAD16, CDKL1, CHPT1, CRYAB, CATD, CYTM1, EDAD, EDNRB, ELF5, FOXQ1, FSTL1, ATNG, FXYD4, CXB1, NA, GSTA3, DHI2, 3BHS6, ID2, ID3, IBP7, NS1BP, K1C18, K2C7, LDHA, LEG3, NA, MGST3, NA, NPNT, PDZ1I, PHAR1, PE2R1, RNB3L, RHCG, 7B2, SCNNB, SGK1, ISK8, TACD2, TBX3, TBB2A","Q8VEN2, P00329, Q9EQX4, NA, NA, P56402, Q8R2N1, P55088, Q61599, P14094, O88721, Q05928, P49817, O88338, Q8CEQ0, Q8C025, P23927, P18242, Q8K353, Q8VHX2, P48302, Q8VDK3, O70220, Q62356, Q04646, Q9D2W0, P28230, NA, P30115, P51661, O35469, P41136, P41133, Q61581, Q920Q8, P05784, Q9DCV7, P06151, P16110, NA, Q9CPU4, NA, Q91V88, Q9CQH0, Q2M3X8, P35375, Q6PDH4, Q9QXP0, P12961, Q9WU38, Q9WVC6, Q09TK9, Q8BGV3, P70324, Q7TMM9",Single-cell sequencing,28851704,
3757,Mouse,Kidney,UBERON_0002113,Normal,Normal cell,Cortical cell,CL_0002681,"Alcam, Ank3, Aprt, Atp1b1, Cdca7, Chchd10, Dkk1, Etl4, Fam178a, Fibin, Id2, Lig1, Mcm5, Mest, Nasp, Nsg1, Pcna, Pcna-ps2, Ptn, S100g, Tfrc, Tsr1","Alcam, Ank3, Aprt, Atp1b1, Cdca7, Chchd10, Dkk1, Etl4, NA, Fibin, Id2, Lig1, Mcm5, Mest, Nasp, Nsg1, Pcna, NA, Ptn, S100g, Tfrc, Tsr1","11658, 11735, 11821, 11931, 66953, 103172, 13380, 208618, NA, 67606, 15902, 16881, 17218, 17294, 50927, 18196, 18538, NA, 19242, 12309, 22042, 104662","CD166, ANK3, APT, AT1B1, CDCA7, NA, DKK1, NA, NA, FIBIN, ID2, DNLI1, MCM5, MEST, NASP, NSG1, PCNA, NA, PTN, S100G, TFR1, TSR1","Q61490, G5E8K5, P08030, P14094, Q9D0M2, NA, O54908, NA, NA, Q9CQS3, P41136, P37913, P49718, Q07646, Q99MD9, Q62092, P17918, NA, P63089, P97816, Q62351, Q5SWD9",Single-cell sequencing,28851704,
3760,Human,Pancreas,UBERON_0001264,Normal,Normal cell,Delta cell,CL_0000173,SST,SST,6750,SMS,P61278,Single-cell sequencing,28965763,
3761,Human,Pancreas,UBERON_0001264,Normal,Normal cell,Beta cell,CL_0000169,INS,INS,3630,INS,P01308,Single-cell sequencing,28965763,
3762,Human,Pancreas,UBERON_0001264,Normal,Normal cell,Ductal cell,CL_0002079,PROM1,PROM1,8842,PROM1,O43490,Single-cell sequencing,28965763,
3763,Human,Pancreas,UBERON_0001264,Normal,Normal cell,Mesenchymal cell,CL_0008019,THY1,THY1,7070,PDGFR,P04216,Single-cell sequencing,28965763,
3764,Human,Pancreas,UBERON_0001264,Normal,Normal cell,Acinar cell,CL_0000622,PRSS1,PRSS1,5644,TRY1,P07477,Single-cell sequencing,28965763,
3765,Human,Pancreas,UBERON_0001264,Normal,Normal cell,Alpha cell,CL_0000171,GCG,GCG,2641,GLUC,P01275,Single-cell sequencing,28965763,
3766,Human,Pancreas,UBERON_0001264,Normal,Normal cell,PP cell,CL_0000696,PPY,PPY,5539,PAHO,P01298,Single-cell sequencing,28965763,
3767,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Early neuroblast,CL_0000031,"Acvr2a, Fgf10, Fgf3, Fgf8, Hes5, Neurog1, Notch1, Six1","Acvr2a, Fgf10, Fgf3, Fgf8, Hes5, Neurog1, Notch1, Six1","11480, 14165, 14174, 14179, 15208, 18014, 18128, 20471","AVR2A, FGF10, FGF3, FGF8, HES5, NGN1, NOTC1, SIX1","P27038, O35565, P05524, P37237, P70120, P70660, Q01705, Q62231",Single-cell sequencing,24768691,
3768,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Ventral otocyst,UBERON_0003051,"Fbxo2, Fzd8, Gli1, Hes1, Hey2, Lfng, Ntf3, Otol1, Otx1, Otx2, Pax2, Ptc2, Sox2, Trpm3","Fbxo2, Fzd8, Gli1, Hes1, Hey2, Lfng, Ntf3, Otol1, Otx1, Otx2, Pax2, NA, Sox2, Trpm3","230904, 14370, 14632, 15205, 15214, 16848, 18205, 229389, 18423, 18424, 18504, NA, 20674, 226025","FBX2, FZD8, GLI1, HES1, HEY2, LFNG, NTF3, OTOL1, OTX1, OTX2, PAX2, NA, SOX2, NA","Q80UW2, Q61091, P47806, P35428, Q9QUS4, O09010, P20181, Q4ZJM7, P80205, P80206, P32114, NA, P48432, NA",Single-cell sequencing,24768691,
3769,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Late neuroblast,CL_0000031,"Eya2, Fzd10, Isl1, Jag2, Neurod1, Neurog2","Eya2, Fzd10, Isl1, Jag2, Neurod1, Neurog2","14049, 93897, 16392, 16450, 18012, 11924","EYA2, FZD10, ISL1, JAG2, NDF1, NGN2","O08575, Q8BKG4, P61372, Q9QYE5, Q60867, P70447",Single-cell sequencing,24768691,
3770,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Dorsal otocyst,CL_0002321,"Bmp4, Dlx5, Emx2, Fgfr3, Fst, Gata2, Gbx2, Inhba, Oc90, Wnt2b, Wnt7a, Wnt7b","Bmp4, Dlx5, Emx2, Fgfr3, Fst, Gata2, Gbx2, Inhba, Oc90, Wnt2b, Wnt7a, Wnt7b","12159, 13395, 13797, 14184, 14313, 14461, 14472, 16323, 18256, 22414, 22421, 22422","BMP4, DLX5, EMX2, FGFR3, FST, GATA2, GBX2, INHBA, OC90, WNT2B, WNT7A, WNT7B","P21275, P70396, Q04744, Q61851, P47931, O09100, P48031, Q04998, Q9Z0L3, O70283, P24383, P28047",Single-cell sequencing,24768691,
3771,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Neuroblast,CL_0000031,"Ccnd2, Crmp1, Dbn1, Dchs1, Dlx1, Dlx2, Dlx5, Dlx6, Evf1, Foxc1, Fxyd6, Klf5a, Olfm1, Pfn2, Pou3f3, Sox5, Trn1","Ccnd2, Crmp1, Dbn1, Dchs1, Dlx1, Dlx2, Dlx5, Dlx6, NA, Foxc1, Fxyd6, NA, Olfm1, Pfn2, Pou3f3, Sox5, NA","12444, 12933, 56320, 233651, 13390, 13392, 13395, 13396, NA, 17300, 59095, NA, 56177, 18645, 18993, 20678, NA","CCND2, DPYL1, DREB, PCD16, DLX1, DLX2, DLX5, DLX6, NA, FOXC1, FXYD6, NA, NOE1, PROF2, PO3F3, SOX5, NA","P30280, P97427, Q9QXS6, E9PVD3, Q64317, P40764, P70396, P70397, NA, Q61572, Q9D164, NA, O88998, Q9JJV2, P31361, P35710, NA",Single-cell sequencing,26000486,
3772,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Endothelial cell,CL_0000115,"CD34, Eng, Flt1, Fn1, Kdr, Tek","Cd34, Eng, Flt1, Fn1, Kdr, Tek","12490, 13805, 14254, 14268, 16542, 21687","CD34, EGLN, VGFR1, FINC, VGFR2, TIE2","Q64314, Q63961, P35969, P11276, P35918, Q02858",Single-cell sequencing,26000486,
3773,Mouse,Brain,UBERON_0000955,Normal,Normal cell,O cell,,"Aspa, Cldn11, Gal3st1, Kcna1, Kcna6, Mag, Mobp, Mog, Olig1, Sox10","Aspa, Cldn11, Gal3st1, Kcna1, Kcna6, Mag, Mobp, Mog, Olig1, Sox10","11484, 18417, 53897, 16485, 16494, 17136, 17433, 17441, 50914, 20665","ACY2, CLD11, G3ST1, KCNA1, KCNA6, MAG, MOBP, MOG, OLIG1, SOX10","Q8R3P0, Q60771, Q9JHE4, P16388, Q61923, P20917, Q9D2P8, Q61885, Q9JKN5, Q04888",Single-cell sequencing,26000486,
3774,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Chandelier cell,CL_0011005,"Cpne5, Dusp14, Epb4.1l4a, Errfi1, Fam163b, Fgf13, Gdf10, Gpr12, Hapln1, Hs3st4, Ibsp, Ier2, Ifi27l1, Krt12, L2hgdh, Mctp2, Nanp, Necab2, Pde3a, Pdlim3, Peli1, Pthlh, Pygm, Ramp3, Rasgrp1, Tgfb3, Thbs1, Trps1, Unc5b, Vcan","Cpne5, Dusp14, NA, Errfi1, Fam163b, Fgf13, Gdf10, Gpr12, Hapln1, Hs3st4, Ibsp, Ier2, NA, Krt12, L2hgdh, Mctp2, Nanp, Necab2, Pde3a, Pdlim3, Peli1, Pthlh, Pygm, Ramp3, Rasgrp1, Tgfb3, Thbs1, Trps1, Unc5b, Vcan","240058, 56405, NA, 74155, 109349, 14168, 14560, 14738, 12950, 628779, 15891, 15936, NA, 268482, 217666, 244049, 67311, 117148, 54611, 53318, 67245, 19227, 19309, 56089, 19419, 21809, 21825, 83925, 107449, 13003","CPNE5, DUS14, NA, ERRFI, F163B, FGF13, GDF10, GPR12, HPLN1, NA, SIAL, IER2, NA, K1C12, L2HDH, MCTP2, NANP, NECA2, PDE3A, PDLI3, PELI1, PTHR, PYGM, RAMP3, GRP1, TGFB3, TSP1, TRPS1, UNC5B, CSPG2","Q8JZW4, Q9JLY7, NA, Q99JZ7, Q8BUM6, P70377, P97737, P35412, Q9QUP5, NA, Q61711, P17950, NA, Q64291, Q91YP0, Q5RJH2, Q9CPT3, Q91ZP9, Q9Z0X4, O70209, Q8C669, P22858, Q9WUB3, Q9WUP1, Q9Z1S3, P17125, P35441, Q925H1, Q8K1S3, Q62059",Single-cell sequencing,28942923,
3775,Mouse,Brain,UBERON_0000955,Normal,Normal cell,Basket cell,CL_0000118,"1190002N15Rik, Cartpt, Cox6a2, Eif5a2, Esrrg, Etv6, Fam43a, Hadhb, Hapln4, Iqgap2, Kcnj9, Mitf, Moxd1, Nefh, Nog, Nxph2, Prss23, Slit2, Slit3, St6galnac5, Syt2, Tac1, Vamp1","1190002N15Rik, Cartpt, Cox6a2, Eif5a2, Esrrg, Etv6, Fam43a, Hadhb, Hapln4, Iqgap2, Kcnj9, Mitf, Moxd1, Nefh, Nog, Nxph2, Prss23, Slit2, Slit3, St6galnac5, Syt2, Tac1, Vamp1","68861, 27220, 12862, 208691, 26381, 14011, 224093, 231086, 330790, 544963, 16524, 17342, 59012, 380684, 18121, 18232, 76453, 20563, 20564, 26938, 20980, 21333, 22317","NA, CART, CX6A2, IF5A2, ERR3, ETV6, FA43A, ECHB, HPLN4, IQGA2, KCNJ9, MITF, MOXD1, NFH, NOGG, NXPH2, PRS23, SLIT2, SLIT3, SIA7E, SYT2, TKN1, VAMP1","NA, P56388, P43023, Q8BGY2, P62509, P97360, Q8BUP8, Q99JY0, Q80WM4, Q3UQ44, P48543, Q08874, Q9CXI3, P19246, P97466, Q61199, Q9D6X6, Q9R1B9, Q9WVB4, Q9QYJ1, P46097, P41539, Q62442",Single-cell sequencing,28942923,
